time,lca,sea,lcb,seb
4554.712,2.671,0.004,2.419,0.004
4555.767,2.659,0.004,2.412,0.004
4561.722,2.665,0.004,2.417,0.004
4570.669,2.669,0.004,2.413,0.004
4584.677,2.664,0.004,2.378,0.004
4596.704,2.682,0.004,2.377,0.005
4613.691,2.689,0.004,2.392,0.004
4617.702,2.691,0.004,2.412,0.004
4793.005,2.733,0.004,2.541,0.005
4802.98,2.711,0.005,2.544,0.005
4807.929,2.728,0.005,2.563,0.005
4829.857,2.747,0.004,2.604,0.004
4833.894,2.726,0.004,2.603,0.004
4839.966,2.722,0.005,2.608,0.005
4846.758,2.73,0.004,2.621,0.004
4862.882,2.706,0.004,2.631,0.004
4877.716,2.684,0.004,2.618,0.004
4883.932,2.673,0.002,2.624,0.002
4891.824,2.635,0.004,2.625,0.004
4911.8,2.618,0.004,2.665,0.004
4942.797,2.573,0.003,2.655,0.004
4964.715,2.587,0.004,2.63,0.004
4981.695,2.58,0.005,2.608,0.005
4997.677,2.608,0.004,2.626,0.004
5144.981,2.573,0.004,2.656,0.004
5157.964,2.578,0.004,2.642,0.004
5186.024,2.558,0.004,2.603,0.004
5201.946,2.579,0.004,2.639,0.004
5208.993,2.585,0.004,2.652,0.004
5241.874,2.627,0.004,2.668,0.004
5261.687,2.631,0.004,2.667,0.005
5296.691,2.641,0.004,2.617,0.004
5311.69,2.634,0.004,2.575,0.005
5320.745,2.639,0.004,2.546,0.004
5324.729,2.636,0.004,2.536,0.004
5332.717,2.63,0.004,2.528,0.004
5348.695,2.605,0.004,2.48,0.004
5352.685,2.596,0.004,2.483,0.004
5358.688,2.56,0.004,2.463,0.005
5506.991,2.65,0.004,2.474,0.004
5519.03,2.712,0.003,2.49,0.003
5527.937,2.692,0.004,2.483,0.004
5535.032,2.704,0.006,2.489,0.006
5543.989,2.713,0.004,2.497,0.004
5563.958,2.705,0.004,2.477,0.004
5590.779,2.729,0.004,2.496,0.004
5604.847,2.711,0.004,2.465,0.004
5621.687,2.705,0.004,2.482,0.004
5626.779,2.698,0.005,2.487,0.005
5649.715,2.661,0.004,2.538,0.004
5653.71,2.659,0.004,2.545,0.004
5664.75,2.658,0.004,2.559,0.004
5674.748,2.648,0.008,2.566,0.008
5684.672,2.653,0.004,2.564,0.004
5702.677,2.663,0.004,2.572,0.004
5712.673,2.671,0.004,2.582,0.004
5733.651,2.673,0.005,2.566,0.005
